Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
1,P8170,U99249,Juan González,9,9,2,1676168035,Servicio lento y atención deficiente,No cumplió con la descripción. Superó todas mis expectativas. Podría ser mejor. Sin dudas volvería a comprarlo. Funciona perfectamente
2,P7827,U69301,Carlos Pérez,9,13,3,1612577635,Está bien para su precio,El empaque estaba dañado. Sin dudas volvería a comprarlo. Superó todas mis expectativas. No cumplió con la descripción. El servicio al cliente fue atento
3,P1882,U54391,María Rodríguez,4,4,3,1508897635,"Cumple, pero sin destacar",No lo recomendaría. Podría ser mejor. Funciona perfectamente. No cumplió con la descripción. Llegó antes de lo previsto
4,P8996,U35717,Lucía López,4,8,1,1623550435,El producto llegó roto,No lo recomendaría. Sin dudas volvería a comprarlo. Funciona perfectamente. Superó todas mis expectativas. No cumplió con la descripción
5,P6847,U58714,Jorge Torres,2,2,4,1678068835,Buena relación calidad-precio,Llegó antes de lo previsto. No lo recomendaría. El servicio al cliente fue atento. Podría ser mejor. La calidad fue impresionante
6,P8503,U88203,Sofía Torres,1,5,3,1467080035,"Cumple, pero sin destacar",La calidad fue impresionante. El empaque estaba dañado. Superó todas mis expectativas. Podría ser mejor. Funciona perfectamente
7,P1842,U25395,Lucía Pérez,2,4,2,1602641635,No fue lo que esperaba,No cumplió con la descripción. El servicio al cliente fue atento. La calidad fue impresionante. Funciona perfectamente. Superó todas mis expectativas
8,P3651,U33576,Lucía Torres,0,0,2,1689646435,Servicio lento y atención deficiente,No lo recomendaría. El servicio al cliente fue atento. Llegó antes de lo previsto. El empaque estaba dañado. La calidad fue impresionante
9,P8508,U30384,Lucía Rodríguez,5,6,5,1453083235,"Maravilloso, lo volvería a comprar",Podría ser mejor. Sin dudas volvería a comprarlo. No cumplió con la descripción. No lo recomendaría. La calidad fue impresionante
10,P8348,U61466,Carlos García,10,13,1,1508552035,El producto llegó roto,Podría ser mejor. No lo recomendaría. Sin dudas volvería a comprarlo. Funciona perfectamente. No cumplió con la descripción
11,P9329,U26243,Isabel Pérez,6,7,3,1445480035,Está bien para su precio,No cumplió con la descripción. No lo recomendaría. Llegó antes de lo previsto. Podría ser mejor. El empaque estaba dañado
